country,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Австралия,00Blm7zeNqgYLPtW6zg8cj,Post Malone,One Right Now (with The Weeknd),0.687,0.781,1.0,-4.806,1.0,0.053,0.0361,0.0,0.0755,0.688,97.014,193507.0,4.0
Австралия,5rW7qTn83sCKtqBoneJs63,bbno$,edamame (feat. Rich Brian),0.815,0.849,4.0,-4.704,0.0,0.114,0.0229,0.000176,0.026,0.685,106.035,133707.0,4.0
Австралия,6K5ph5mq1qprHae3TrgTj5,Jessica Darrow,"Surface Pressure - From ""Encanto""/Soundtrack Version",0.65,0.584,2.0,-8.286,1.0,0.307,0.0174,1.54e-06,0.042,0.37,180.088,202227.0,4.0
Австралия,3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,0.69,0.626,6.0,-5.693,1.0,0.306,0.105,0.000335,0.0881,0.912,184.009,185681.0,4.0
Австралия,003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,0.352,0.911,1.0,-5.23,1.0,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973.0,4.0
Австралия,6f5ExP43esnvdKPddwKXJH,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657.0,4.0
Австралия,4wqzOaLxiCRy2Et8tRyNSX,Wiz Khalifa,The Thrill,0.817,0.775,10.0,-4.767,0.0,0.108,0.277,0.0,0.108,0.806,126.984,234334.0,4.0
Австралия,424Uwmm1kNW07Ty1nOhSpl,Flume,Say Nothing (feat. MAY-A),0.478,0.822,2.0,-1.961,0.0,0.0642,0.101,6.6e-05,0.12,0.309,130.058,232959.0,4.0
Австралия,0qOvlEzD7xU35GLFT8DF1t,Havana Brown,We Run The Night - Teddy Cream Remix,0.657,0.882,9.0,-5.507,0.0,0.159,0.000641,0.00102,0.0623,0.512,132.077,174545.0,4.0
Австралия,5nujrmhLynf4yMoMtj8AQF,Dua Lipa,Levitating (feat. DaBaby),0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064.0,4.0
Австралия,503OTo2dSqe7qk76rgsbep,Dr. Dre,Still D.R.E.,0.816,0.775,11.0,-3.323,1.0,0.234,0.16,0.00031,0.0543,0.527,93.431,270587.0,4.0
Австралия,5YqdiryRmdAzYFlxo43hAJ,Vance Joy,Missing Piece,0.628,0.877,0.0,-4.205,1.0,0.046,0.0155,5.97e-06,0.113,0.721,101.992,217408.0,4.0
Австралия,3o9kpgkIcffx0iSwxhuNI2,Em Beihold,Numb Little Bug,0.742,0.527,8.0,-6.892,0.0,0.0769,0.327,0.0,0.25,0.638,84.974,169238.0,4.0
Австралия,3Kkjo3cT83cw09VJyrLNwX,Adele,Oh My God,0.534,0.725,1.0,-3.906,1.0,0.046,0.091,0.0,0.0264,0.55,88.098,225149.0,4.0
Австралия,46HNZY1i7O6jwTA7Slo2PI,Coldplay,My Universe,0.573,0.711,1.0,-6.268,0.0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198.0,4.0
Австралия,7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,4.0
Австралия,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,0.828,0.492,0.0,-9.744,1.0,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800.0,4.0
Австралия,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
